StartDate;EndDate;Progress;Duration (in seconds);RecordedDate;UserLanguage;Informed consent;T1E_1;T2E_1;T3E_1;T4E_1;T5N_1;T6N_1;T7N_1;T8N_1;F1E_1;F2E_1;F3E_1;F4E_1;F5N_1;F6N_1;F7N_1;F8N_1;T1EE_1;T2EE_1;T3EE_1;T4EE_1;T5NE_1;T6NE_1;T7NE_1;T8NE_1;F1EE_1;F2EE_1;F3EE_1;F4EE_1;F5NE_1;F6NE_1;F7NE_1;F8NE_1;T1N_1;T2N_1;T3N_1;T4N_1;T5E_1;T6E_1;T7E_1;T8E_1;F1N_1;F2N_1;F3N_1;F4N_1;F5E_1;F6E_1;F7E_1;F8E_1;T1NE_1;T2NE_1;T3NE_1;T4NE_1;T5EE_1;T6EE_1;T7EE_1;T8EE_1;F1NE_1;F2NE_1;F3NE_1;F4NE_1;F5EE_1;F6EE_1;F7EE_1;F8EE_1;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Educational level;Gender;Gender_4_TEXT;Age_1;Pol. partisanship _1;Series
02/05/2025 08:31;02/05/2025 08:40;100;532;02/05/2025 08:40;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;6;0;4;10;10;8;10;5;10;0;0;5;0;0;0;5;10;10;1;10;10;10;10;0;10;0;10;0;10;10;10;8;50;20;2;7;June;5;1;;32;4;B
02/05/2025 08:31;02/05/2025 08:40;100;579;02/05/2025 08:40;EN;1;6;4;5;2;5;6;5;4;7;3;1;2;3;8;0;6;7;5;7;5;8;3;7;8;5;5;5;7;7;8;8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;6;2;;34;6;A
02/05/2025 08:35;02/05/2025 08:41;100;377;02/05/2025 08:41;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;7;0;0;4;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;10;39;2;8;Emily;5;2;;66;3;B
02/05/2025 08:32;02/05/2025 08:41;100;539;02/05/2025 08:41;EN;1;10;6;8;5;9;1;3;4;0;1;2;3;8;0;0;1;5;7;9;0;0;0;5;0;0;0;6;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;42;2;8;Emily;2;1;;41;1;A
02/05/2025 08:31;02/05/2025 08:41;100;637;02/05/2025 08:41;EN;1;6;6;7;5;6;6;6;5;4;6;7;6;7;6;6;7;6;7;6;5;6;7;6;7;6;7;7;6;7;7;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;7; Emily;3;2;;42;2;A
02/05/2025 08:30;02/05/2025 08:41;100;658;02/05/2025 08:41;EN;1;8;8;5;3;7;4;6;7;5;5;6;5;5;3;0;3;10;10;6;8;10;6;8;8;4;10;8;7;5;4;10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;20;2;8;emily;5;2;;54;4;A
02/05/2025 08:31;02/05/2025 08:41;100;615;02/05/2025 08:41;EN;1;5;5;0;0;2;0;7;4;0;0;0;0;0;0;0;2;10;8;9;9;5;5;5;5;4;9;2;9;0;0;9;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;2;2;;70;2;A
02/05/2025 08:31;02/05/2025 08:41;100;651;02/05/2025 08:41;EN;1;10;10;5;5;8;5;10;10;0;0;5;0;0;0;0;0;6;8;0;1;2;0;6;2;3;6;9;5;0;0;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;5;1;;29;6;A
02/05/2025 08:32;02/05/2025 08:42;100;592;02/05/2025 08:42;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;4;7;6;9;4;7;6;7;7;8;6;4;5;5;6;5;9;6;6;6;7;5;5;5;5;7;5;8;5;8;4;4;10;39;2;8;Emily;6;1;;51;6;B
02/05/2025 08:30;02/05/2025 08:42;100;686;02/05/2025 08:42;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;10;8;8;1;2;8;5;8;0;0;2;0;7;0;0;1;0;0;8;3;6;4;0;2;0;2;4;2;7;10;4;10;39;1;8;Emily;5;1;;59;1;B
02/05/2025 08:32;02/05/2025 08:42;100;629;02/05/2025 08:42;EN;1;9;6;0;0;0;0;9;3;1;1;0;3;10;0;0;0;0;9;10;0;0;10;1;9;1;9;10;10;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;2;7;emily;5;1;;43;6;A
02/05/2025 08:30;02/05/2025 08:42;100;718;02/05/2025 08:42;EN;1;2;5;2;2;3;10;9;5;1;9;4;0;2;3;0;2;6;7;8;8;6;4;5;4;8;9;7;10;3;2;9;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;6;2;;41;2;A
02/05/2025 08:32;02/05/2025 08:42;100;612;02/05/2025 08:42;EN;1;8;3;2;6;5;0;5;3;2;2;3;0;5;0;0;0;7;9;10;8;3;2;0;6;6;10;7;8;0;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;3;2;;31;3;A
02/05/2025 08:30;02/05/2025 08:42;100;744;02/05/2025 08:43;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;10;0;10;0;10;10;10;9;0;1;0;0;0;1;0;8;9;4;5;10;7;10;10;2;9;9;5;10;6;10;10;4;10;39;2;8;Emily;6;2;;27;5;B
02/05/2025 08:30;02/05/2025 08:43;100;764;02/05/2025 08:43;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;5;5;0;0;0;8;0;0;0;0;0;0;0;0;1;8;6;5;3;4;8;7;1;8;9;8;5;0;9;9;4;10;39;1;8;Emily;3;1;;55;3;B
02/05/2025 08:30;02/05/2025 08:43;100;751;02/05/2025 08:43;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8;7;3;1;8;7;8;7;1;1;1;1;0;0;0;7;7;5;5;9;6;6;9;5;8;7;7;9;8;9;10;8;10;20;2;8;Emily;2;2;;61;5;B
02/05/2025 08:30;02/05/2025 08:43;100;729;02/05/2025 08:43;EN;1;8;5;0;0;5;0;9;2;0;0;2;0;8;5;0;9;9;10;8;6;9;8;6;8;0;10;7;7;0;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;1;7;Emily;6;2;;52;2;A
02/05/2025 08:30;02/05/2025 08:43;100;770;02/05/2025 08:43;EN;1;0;6;8;2;5;6;4;9;2;0;0;0;4;0;0;0;9;9;9;2;9;0;9;0;2;9;6;9;5;0;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;1;8;Emily;5;2;;60;2;A
02/05/2025 08:34;02/05/2025 08:44;100;556;02/05/2025 08:44;EN;1;1;3;1;3;4;2;0;2;1;0;0;0;7;3;0;1;2;8;6;0;0;1;2;3;0;8;5;1;0;3;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;39;2;8;Emily;6;1;;27;5;A
02/05/2025 08:30;02/05/2025 08:44;100;833;02/05/2025 08:44;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;0;5;0;2;2;9;0;0;0;0;7;0;0;4;3;7;4;2;5;3;2;5;6;6;2;3;2;7;6;7;4;10;39;2;7;Emily;4;2;;70;5;B
